country_code,year,BANK,ATM,DEP,LOAN
AZE,2013,10.20141128218422,33.2541293747647,15.83693410333093,25.7636382386305
AZE,2014,10.86697015100998,35.55967146026854,18.9027893333966,30.5307392640064
AZE,2015,10.73611139128496,36.4729938059542,31.45328105628908,38.91956660752464
AZE,2016,8.079126507963586,33.21717404522133,27.41070552262963,26.43133657973825
AZE,2017,7.189120553148808,32.82453744211357,26.53489670844126,16.11872487648178
AZE,2018,7.099599730373566,33.82207083447481,25.37426392257654,15.76718763690506
AZE,2019,7.032984698234721,35.38674304566338,28.10798883359667,18.19490518440416
AZE,2020,6.220623396993202,35.93994266163016,30.01150401787867,19.50585572328292
AZE,2021,6.481558490097205,38.11926478334396,29.11383209579714,17.8739628410076
AZE,2022,6.539220828848794,39.18423731036739,25.20513399696356,14.62563713918582
AZE,2023,6.315698963350303,39.46677745772318,28.10018652078643,18.82828065162058
AZE,2024,6.355420697511809,41.41678497944579,29.44055466268789,21.74950669682674
BDI,2010,2.156198935964388,0.4856303909829703,20.91388926317658,16.09786221530423
BDI,2011,2.355381906333057,0.6595069337732559,19.51710814623977,19.10457189024853
BDI,2012,2.560941255666083,0.9146218770236008,18.83887682311242,18.24270829310032
BDI,2013,3.036799078802095,1.438483774169413,18.83357639344262,17.13636983606557
BDI,2014,2.971649598974159,1.399439636726203,19.54963907996155,17.03539714107459
BDI,2015,3.059636067400193,1.350342174997851,16.64460972012542,13.9311175699461
BDI,2016,3.131177268197585,1.378398688717415,17.2046727237196,14.04640010487838
BDI,2017,3.072126347206711,1.619544867820929,11.98366182515878,12.74821023185127
BDI,2018,2.970036048812542,1.501159524671557,16.87709911468958,23.25639465249234
BDI,2019,2.913486046493968,1.59621841908978,101.6745885644311,13.88452697343369
BDI,2020,3.003367806317741,1.449386453795129,12.23820731523012,16.94182061258595
BDI,2021,3.086218563114323,1.413315042921513,,
BDI,2022,3.238417584079328,1.640056973911419,,
BEL,2010,45.08365504241344,,92.40120911128118,76.55502392344498
BEL,2011,43.52790090435243,,90.74210488795951,76.94952039224073
BEL,2012,42.55602966558704,,95.23117215210756,77.38621834529407
BEL,2013,41.47421511775082,,98.98965325872936,77.22221799871774
BEL,2014,39.88734378128795,136.2898192257427,98.42132166466236,74.81004249812943
BEL,2015,38.54315219512174,170.4361734161885,99.44505676977796,75.95406436956428
BEL,2016,36.53640804693924,123.0990995587886,101.4400175509432,78.26662604798037
BEL,2017,34.76092414717413,109.6933214025964,100.43391188251,79.87255353579548
BEL,2018,32.34795355466077,102.6072872036764,102.2257188373247,81.9043639497532
BEL,2019,29.57561712394718,92.28765513322328,103.8811461561886,82.84499192818377
BEL,2020,26.16646496683255,71.38486640832144,115.2422641509434,88.80409703504043
BEL,2021,22.79014102642859,58.6742539880416,111.1164907523966,84.56453560411286
BEL,2022,21.14978303009926,60.46458339594332,102.1357693454282,80.78712576125378
BEL,2023,18.39434309594935,55.56814501106904,92.83924738395493,
BEL,2024,,49.63411379101693,95.1431886340818,
BEN,2010,2.874561242800179,,25.42898310968024,17.9578410987627
BEN,2011,3.082950210706434,,25.37995758228084,18.85979200659602
BEN,2012,3.072415816660072,,24.53564530166234,17.82572181839137
BEN,2013,3.143960980465743,,25.63299370219999,19.22275176560029
BEN,2014,3.240366366729586,3.288490619700818,27.69754269461196,20.3746027649569
BEN,2015,3.421257047595128,3.452359384391448,30.18930866053926,19.04445897361787
BEN,2016,3.39301009759805,3.634290815649467,29.75892297611927,20.54576366514733
BEN,2017,3.15898929892375,3.59773781266316,27.93915347068843,20.49972949487107
BEN,2018,3.063652051958971,4.567110929309207,28.35891754800481,19.94133080123417
BEN,2019,3.70018539441913,4.484239548626901,29.78336437575699,21.63981386798793
BEN,2020,3.215337131433643,4.109227537267892,31.51665850439673,20.20940529306919
BEN,2021,3.261595067536374,3.999336809002934,35.27951040696579,20.52057902199963
BEN,2022,2.800131392712526,3.82977612007767,35.5595387094686,24.28208613631932
BEN,2023,2.631737980267813,3.971974914663459,35.64630088647589,25.80562038902639
BEN,2024,2.519785044590731,3.974872183016365,23.60822673336297,23.18048239973096
BFA,2010,1.851775693842176,,23.36762312314237,16.70636987915639
BFA,2011,2.020052386691895,,24.2934485911301,18.5894594317445
BFA,2012,2.067207818115703,,25.36873747890393,19.58910424372782
BFA,2013,2.244617594060908,,28.48219219702229,24.1775507711954
BFA,2014,2.671134550792783,,29.75687415523041,28.17309127621558
BFA,2015,2.8035705180041,4.298156891713603,34.43651039960911,29.53807200280302
BFA,2016,2.781329596639094,4.635549327731824,36.12532127289418,29.32334482651529
BFA,2017,2.757029830696385,5.175155662270624,40.27036706761246,31.74308895460382
BFA,2018,2.732725757306625,4.036981232384788,39.82314972080251,32.59183608863633
BFA,2019,2.974219789512918,4.977090341410346,41.11315542046473,34.16684526166903
BFA,2020,2.729233115449556,4.360116318584047,44.41458630209367,32.17407993551011
BFA,2021,2.8735514222027,4.354597533365997,51.82445873522348,34.95311899773954
BFA,2022,2.913389071503682,4.393453038310365,44.28167330530647,33.75899956483411
BFA,2023,2.774728466806444,4.350593275400321,45.48603385901155,36.87202864387674
BFA,2024,2.685168450175495,4.137202476221483,40.20272176732787,
BGD,2010,7.659157451236432,2.113042787990696,39.14565335964321,32.64298170774916
BGD,2011,7.89712376871136,3.722117545903306,41.64647753922922,34.59322482081817
BGD,2012,8.116055296324506,4.060434830300207,42.75603418902409,34.64396111176905
BGD,2013,8.300353137484327,4.984938735074585,43.32067495121417,32.37564270684361
BGD,2014,8.509858513738868,5.810320108813306,44.27151515324379,33.62370855910878
BGD,2015,8.674026685587483,7.146909311364335,43.97216366219936,33.83795072222283
BGD,2016,8.78037666418767,8.092562580334535,43.53228801550428,33.70267526838412
BGD,2017,8.916593660880357,8.44748489628499,42.69152076896598,36.28766070209417
BGD,2018,9.08134117159938,9.057839186395396,41.11601047434345,36.4770486262773
BGD,2019,9.13733827848454,9.611100712985808,41.39970792150805,35.48483264946252
BGD,2020,9.120908324823883,10.79803340635954,43.70044424128585,36.18729876784428
BGD,2021,9.24962880387726,11.79939464925919,43.39622152391314,36.29745153811579
